text,category
chicken biryani,Food
veg meals hotel,Food
dominos pizza order,Food
burger king ,Food
coffee shop latte,Food
swiggy food delivery,Food
zomato order,Food
grocery store vegetables,Food
supermarket food items,Food
snacks and juice,Food
tea coffee stall,Food
fresh fruits,Food
non-veg restaurants,Food
taste,Food
dosa idly,Food

petrol pump ,Transport
fuel station petrol,Transport
diesel fill receipt,Transport
uber ride,Transport
ola cab trip,Transport
bus ticket fare,Transport
train ticket booking,Transport
metro recharge,Transport
vehicle service charge,Transport
bike repair cost,Transport

tshirt purchase,Shopping
clothing store,Shopping
amazon shopping order,Shopping
flipkart product purchase,Shopping
shoes bought,Shopping
fashion accessories,Shopping
mall shopping,Shopping
online shopping,Shopping
dress material purchase,Shopping
electronics purchase,Shopping

electricity,Utilities
current bill,Utilities
water bill receipt,Utilities
gas cylinder booking,Utilities
broadband recharge,Utilities
wifi,Utilities
mobile recharge,Utilities
postpaid,Utilities
internet service charge,Utilities
utility,Utilities

movie ticket booking,Entertainment
cinema hall bill,Entertainment
netflix prime hotstar subscription,Entertainment
spotify,Entertainment
game,Entertainment
concert ticket,Entertainment
event entry pass,Entertainment
ott platform subscription,Entertainment
gaming purchase,Entertainment
theatre snacks ,Entertainment
sports football snookers,Entertainment
turf cricket,Entertainment
